Geneid	e10HeartOGAWTFemale	e10LiverOGAWTFemale	e2HeartOGAKOFemale	e2LiverOGAKOFemale	e3HeartOGAKOMale	e3LiverOGAKOMale	e5HeartOGAWTFemale	e5LiverOGAWTFemale	e6HeartOGAKOFemale	e6LiverOGAKOFemale	e7HeartOGAWTMale	e7LiverOGAWTMale
ENSMUSG00000120720	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000015749	4548.67	2933.46	5267.4	3187.02	2422.11	489	6030.75	2242.94	3790.34	2762.67	4386.46	2707.64
ENSMUSG00000106262	4	8	5	8	3	1	10.25	4	5	4	6	5
ENSMUSG00000121104	1	6	2.33	0	2	1	1	0	2	1	3	1
ENSMUSG00000106640	0.82	0.77	1.2	1.03	1.04	0.12	1.24	0	0.71	0.62	0.87	0.46
ENSMUSG00000119955	31.5	5	36.5	7.5	29	1	57.5	3	24.75	3.5	32.5	4.57
ENSMUSG00000015745	1970.04	316.4	2186.5	233	1601.75	58	2911.64	204.83	1468.5	244.75	2430.72	277.07
ENSMUSG00000015747	307.25	175.12	323	119	157	26	435.37	112	247	123.25	331.14	161
ENSMUSG00000105995	2.5	4	5	3	2	0.5	6.5	1.5	0.5	3	4.5	3.5
ENSMUSG00000038495	1188.33	749.14	2227.64	719.03	1723.68	310	1870.32	642	1670.22	587.25	2281.12	833.2
ENSMUSG00000045934	78.5	144	114.5	68.5	77	25	156.67	110.5	83	57.5	148.75	85.5
ENSMUSG00000097204	57.5	73	80.62	42.5	42	13.5	103.06	47	51	31.5	101.25	61.5
ENSMUSG00000068856	457	614.87	548.78	430.08	391.5	144.67	587.12	332.5	395.64	400.62	521.58	467.83
ENSMUSG00000084686	0	1	1	1	1	0	2	0	1	1	0	0
ENSMUSG00000038486	691	12.11	635	12.31	398	5	866.25	8	503	16.5	871	6
ENSMUSG00000015943	167	186	154	102	92	24	252	92	115	136	240	191.83
ENSMUSG00000086556	1.1	2.7	1.67	2.85	0.88	3.45	1.45	1	0.5	4.45	2.1	2.9
ENSMUSG00000063689	1.1	2.7	4.67	2.85	0.88	4.45	2.45	1	1.5	3.45	5.1	2.9
ENSMUSG00000068855	9.27	28.87	16.93	24.37	12.77	49.37	9.37	17.62	11.69	39.49	13.4	25.72
ENSMUSG00002075180	1.92	5.77	2.27	3.52	2	8.75	2.27	3.37	0.67	6.57	2.05	4.47
ENSMUSG00000068854	241.17	133.11	325.11	185.5	141.27	52.31	436.69	118.5	270.92	146.87	321.79	267.14
ENSMUSG00000081058	11.67	33.61	9.5	25.22	14.95	126.2	8.1	16.96	11.22	24.5	10.53	15.28
ENSMUSG00000093577	92.24	94.04	91.01	113.84	96.24	71.39	119.81	53.66	85.15	141.25	129.84	103.26
ENSMUSG00000063954	15.74	61.2	31.01	75.34	33.74	54.89	29.64	36.66	20.31	88.75	36.34	69.26
ENSMUSG00002076697	4.31	16.36	8.22	20.76	8.78	17.5	7.94	10.04	5.23	23.58	7.11	17.66
ENSMUSG00000093553	43.5	68.42	59.86	83.37	50.98	48.04	64.9	43.82	52.65	90.69	78.57	76.54
ENSMUSG00000064220	11.75	42.92	21.36	51.87	23.23	38.04	20.65	25.57	14.65	61.44	25.32	47.79
ENSMUSG00000070392	22.58	82.47	39.11	105.82	43.7	120.91	39.95	51.8	35.76	114.05	50.83	82.68
ENSMUSG00002076967	3.38	12.27	6.17	15.57	6.58	13.12	6.18	7.53	3.77	18.08	5.33	13.4
ENSMUSG00000093769	5.33	31.31	8.25	39.19	12.23	74.87	10.05	21.98	13.61	36.75	13.76	26.14
ENSMUSG00000093507	0	2	2	2	1	0	1	0	2	0	7	0
ENSMUSG00000091405	0	6.5	3	0	0	110.6	1	6	0	1	2	0
ENSMUSG00000103940	0	1.5	1.33	1	1	3	4	0	0	1	0	3
ENSMUSG00000093656	2.08	19.22	4.17	3.44	1.98	107.09	2.97	11.06	6.59	3.67	2.01	3.06
ENSMUSG00000074403	1.83	9.06	2	3.11	1.98	54.12	2.3	5.73	2.11	3	2.01	2.39
ENSMUSG00000050936	0	5.67	0.67	2.33	1	16.72	0.48	2.33	0.03	0.67	0	0.33
ENSMUSG00000105827	0	10.17	1.17	0.33	0	50.72	0.33	5.33	1.1	0.67	0	0.33
ENSMUSG00000015947	27	179	65.1	153	31	27	63.5	104	30.33	147.2	61	185
ENSMUSG00000119427	0.21	0.11	0.33	0	0	12.42	0	0	0.11	0	0.33	0
ENSMUSG00000097851	0	0	0	0	0	0	0	0	0	0	0	0.14
ENSMUSG00000097807	0.27	0	0	0	0.17	0	0.1	0.12	0	0.07	0	0.23
ENSMUSG00000118876	0.21	0.11	0	0	0	7.82	0	0	0.11	0	0	0
ENSMUSG00000119030	0.21	0.11	0	0	0	7.82	0	0	0.11	0	0	0
ENSMUSG00000097539	0	0	0	0	0	0	0	0	0	0	0.11	0
ENSMUSG00000097299	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097041	60.5	19.33	76.33	27.83	76	8.17	81	18.2	67	27.5	79	23.28
ENSMUSG00000095836	2.23	2.43	3.05	3.02	1.52	1.24	2.16	3.13	2.59	3.25	2.68	2.36
ENSMUSG00000118406	0.5	1	0.5	1	0.5	4	0.5	0.5	0.5	0.5	0	1
ENSMUSG00002075569	0.5	1	0.5	1	0.5	4	0.5	0.5	0.5	0.5	0	1
ENSMUSG00000119563	0.1	0	0	0	0	1.53	0	0	0	0	0	0
ENSMUSG00000046317	12.5	0	10	0	8	0.42	8.62	0	7.17	0	8.5	0
ENSMUSG00000119774	0.71	0.11	0.83	0	0	13.49	1	0	0.11	0.5	0.33	0.5
ENSMUSG00000104642	97.5	76	118.33	92.17	102.67	27.5	145.67	57.17	79.83	72.5	130.5	70.17
ENSMUSG00000106429	1	0	1	0	2	0.42	1.62	0	0.83	0	1	0
ENSMUSG00000118677	0.71	0.11	0.83	0	0	12.42	1	0	0.11	0.5	0.33	0.5
ENSMUSG00000106641	41	6	34.62	10	15	0.12	49	8.46	43	7	37	1.25
ENSMUSG00002074915	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118698	0.21	0.11	0	0	0	7.76	0	0	0.11	0	0	0
ENSMUSG00000118936	0.21	0.11	0	0	0	8.82	0	0	0.11	0	0	0
ENSMUSG00000038403	1060	1813.67	1155.25	1910.48	330.33	606	1596	1156.5	907.5	1666	1095	1444.5
ENSMUSG00000074398	1426.42	1892.23	3290.42	1821.77	402	899.67	2157.58	1023.37	1315.5	2797.08	3776.33	803.22
ENSMUSG00000038393	12136.09	17266.09	28156.71	16926.37	3407.14	8241.93	18360.49	9555.52	10945.81	26158.18	32628.93	6749.02
ENSMUSG00000087610	20	13	25	10	19.5	5.5	36	11.75	16.5	14.5	33	10
ENSMUSG00000028104	407.62	231.25	442.58	211.11	346	47.5	564.5	169.57	289	257.5	583	198
ENSMUSG00000049097	149.83	0	118.25	2	27.11	0	197.17	0	57	1.17	290	0
ENSMUSG00000049288	1733.55	200.25	2082.72	163.67	1385.2	43.2	2662.22	166.5	1417.58	153.5	2573.08	200.2
ENSMUSG00000045327	139	71.33	148.33	52.83	104.17	14	190.6	42.33	106.67	53.67	192.5	64.83
ENSMUSG00000038374	961.87	800.62	1156.06	746.17	786.92	183.67	1379.5	577.81	732	814.5	1168.44	817.33
ENSMUSG00000028102	358.5	280.75	408	283.25	355	91.5	518.25	184.25	277.74	316	552.5	321.83
ENSMUSG00000106447	84	75.85	115	76	86.25	20	132.75	42.25	76.17	70	154	77.5
ENSMUSG00000090210	26.83	25.6	72.5	21.17	40.25	2.62	33.5	12.17	53.54	8.17	34.5	10
ENSMUSG00000105144	78.27	115.76	123.05	114.16	106.58	27.17	130.84	82.22	76.93	122.04	121.93	117.42
ENSMUSG00000038354	9.25	28.67	24	18	15.5	5	13.5	20	22	20.33	10.21	34.5
ENSMUSG00000028101	497.56	156	726.2	178.5	620.12	61.56	823.5	130.25	548.38	152	837.12	148.1
ENSMUSG00000028100	33	4	65.5	5	42.11	0	63.5	3.5	49.14	8	44.5	4
ENSMUSG00000028099	596.4	545.53	698	481	657.48	132.33	853.12	347.17	596.5	467.5	831.81	551
ENSMUSG00000065669	1	2	2	0	1	0	1	1	1	3	1	0
ENSMUSG00000104795	1.11	4	11	2	2	2	5	2	1	4.5	4	1
ENSMUSG00000028098	582.5	748.17	798	634.71	691	175	765	462	542	578	727.5	601
ENSMUSG00000105976	0	0	0	1	0.17	0	0	0	0	1	0	0
ENSMUSG00000038304	0	9	6	6	3	2	1	6	3	9	2	4
ENSMUSG00000038298	29.67	898.75	30.85	486.38	16.5	32	50.5	546.25	17.5	470.42	30	610
ENSMUSG00000087223	0	3.5	0	3.12	0.1	0	0	3	0	1.58	0	1
ENSMUSG00000028096	281.5	763.75	318.13	474.75	239	96.5	449	466.25	264.5	439.5	353.75	544.5
ENSMUSG00000057123	1129.75	98.6	2637.14	63	1221.83	12.5	2728.68	46	2005.2	40.5	2170.2	77.5
ENSMUSG00000049908	2.25	0.11	0	0	0.1	0	2.1	0	0	0.17	0.25	0.1
ENSMUSG00000105385	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104766	1	0	0	0	0	0	2	0	1	0	1	0
ENSMUSG00000106324	0.67	0	0	0.11	0	0	0	0.5	0	0	0.43	0
ENSMUSG00000088511	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028093	487.5	477	530.25	364.17	368.25	85	746	287	390	380	620.1	378.1
ENSMUSG00000038256	779	306.25	1387.2	257.62	839.58	69	1282.58	186.25	1053.25	149	1291.5	188.25
ENSMUSG00000106536	0	0	0.5	0	0	0	0	0	0	0	0.2	1
ENSMUSG00000104745	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051392	0	0.43	0.11	0.1	1	0	0.14	0.1	0	0	0	0.14
ENSMUSG00000028089	447	273	540.6	296.33	376.67	73.22	690.25	229.31	422.62	325.17	582	322
ENSMUSG00000105004	3	4	2.8	3	3.5	0.22	5.5	3.06	5	0.5	4.25	3
ENSMUSG00000028088	120.12	3953.33	330	4200.84	308	795	241	2568.5	232.61	4680.96	288	4104.8
ENSMUSG00000038205	624.9	91	1265.73	107.5	1142.9	27	978.5	65.75	926.6	81	1134.9	82.67
ENSMUSG00000090441	3.5	0	2.5	0.5	3.5	0	3.5	0.5	2.5	0	0.5	0.5
ENSMUSG00000038170	10857.2	1070	14143.52	775	14079.52	301.83	15137.93	647.25	11685.89	743.45	17486.27	846
ENSMUSG00000098381	78.5	4.5	90	1	87.5	0.5	105	2	65	3	111.5	1.5
ENSMUSG00000105245	17.5	2	32	0	26.5	0	27.5	0	30.5	0	35.5	0
ENSMUSG00000086557	0	0	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000027879	958.53	964.2	1065.7	642.44	743.5	230.5	1467.32	631.08	770	825.5	1166.83	839.67
ENSMUSG00000074388	3.5	2	0	5	1.5	0	1	2	2	4	1	2
ENSMUSG00000120205	0	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000027878	609.25	1213.67	958.62	1079	709.38	506.5	962.69	693.75	805.93	1060.43	934.2	791.75
ENSMUSG00000105728	3	0	2	0	2	0	2	2	4	0	0	0
ENSMUSG00000106427	23.5	27.75	22.25	25	18	11.5	21.61	14.25	13.5	31	26	19
ENSMUSG00000043468	0	0	0.1	0	1	0	1	0	0	0	0	0
ENSMUSG00000106486	10.43	7.53	9.15	3.67	4.17	0.2	13.53	1.03	5.37	3.33	11.45	4
ENSMUSG00000027876	0	2	1	0	0	0	0	0	0	1	0	0
ENSMUSG00000104842	0	0	0	0.5	0.5	0	0.33	0	0	0	0	0
ENSMUSG00000027875	1194	53409.13	225.2	32186.16	284	9282.78	1807.5	30317.25	134	35917.87	4105.8	52098.15
ENSMUSG00000105909	0	67.5	0	60	0	6	2.11	26	0	35.5	7	13
ENSMUSG00000053398	81.61	484.36	161.44	470.47	93.99	44.96	132.12	302.85	143.73	539.79	72.67	240.6
ENSMUSG00000120153	0	1	8	3	4.5	0	1	1	2	3	3	3
ENSMUSG00000050064	176.9	186.52	331.25	166.56	259	20.37	291.67	119.13	243.04	149.36	320.17	107.03
ENSMUSG00000090817	0	6.84	0.33	6.13	0	0	0.33	4.73	0.11	6.41	0	1.89
ENSMUSG00000106107	0.83	0	0.33	0.33	0	0	1.67	0	0.29	0	0.33	0
ENSMUSG00000106129	0	2.17	0	3.01	0	0	0	1.17	0	3.78	0	0.96
ENSMUSG00000095143	0	7.68	0.33	6.46	0	0	0.33	4.73	0	6.46	0	2.44
ENSMUSG00000105696	0	2.17	0	3.01	0	0	0	1.17	0	3.73	0	0.91
ENSMUSG00000095388	0	7.68	0.33	6.58	0	0	0.33	4.73	0	6.51	0	2.49
ENSMUSG00000105641	1.5	1	2.67	1.17	1.17	1	1	0.5	0.5	2	1.2	1.83
ENSMUSG00000106456	0	2.75	0	3.47	0	0	0	1.17	0.25	3.34	0	0.86
ENSMUSG00000038092	0	6.17	0	4.21	0	2	0	0.98	0	3.17	0	2
ENSMUSG00000081919	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083331	0	0.45	0	1.82	0	0	0	0.5	0	1.7	0	0.4
ENSMUSG00000063730	0.5	146.44	1.12	178.73	0.5	13.27	1	87.98	2.12	155.79	0.25	89.86
ENSMUSG00000062410	1.25	701.53	2.62	852.84	2	74.93	2	427.44	0.62	871.35	1.92	373.05
ENSMUSG00000027869	1.25	110.08	2.25	188.92	1	8.2	1.83	96.44	0.62	124.69	0	35.87
ENSMUSG00000083222	0	12	0	20.33	0	2.33	0	10	0	16.17	0	3.33
ENSMUSG00000082185	513.58	262.08	579.08	198.7	350.33	53	798.02	174.5	375.79	175.5	509.83	213.5
ENSMUSG00000082089	0	34.5	0	45.44	0	5.33	0	29	0	34.83	0	8.43
ENSMUSG00000083577	0	0	0	0	0	0	0	0	0	1	0.2	0
ENSMUSG00000082589	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027871	1.5	1467.38	0.25	1875.56	0	169.07	1	1088.91	2.12	1686.3	0	408.15
ENSMUSG00000027870	0	634	1	782.5	0	40	1	310.14	0	606	0	154
ENSMUSG00000085121	0	1	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000086833	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083888	0.12	0.33	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065709	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004233	274.06	168.37	370.62	118	271.83	45	422.93	66.33	274.89	91.12	362.03	107
ENSMUSG00000105472	0	3	1	1	0	0	2	1	1	0	0	0
ENSMUSG00000105798	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098918	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000106197	2	0	0.5	0	3	0	1	0	0	0.28	1.25	0
ENSMUSG00000027868	3.11	1	5.82	2	15.5	4	16	2	13.2	1.5	16	3
ENSMUSG00000105689	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000081183	0.5	0.11	0	0.5	0	0.5	0.5	0	0	0.5	0	0
ENSMUSG00000080832	107	157.5	122.06	128.64	95	34.83	145.67	112.5	80.74	133.33	140	153.93
ENSMUSG00000083938	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064890	0	0	0	0	0	0	0	0.5	0	0	0	0
ENSMUSG00000027867	7.75	22.08	17.5	14.79	24.75	11	14	9.7	11.14	16.83	22.75	20
ENSMUSG00000080754	0	0	0	0.12	0	0	0	0	0	0	0.11	0.12
ENSMUSG00000082763	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085244	0	0	0	0	0	0	0	0	0	0.5	0	0
ENSMUSG00000033285	286.75	448.08	455.5	364.5	456.52	138.5	456	319	327.33	373	457.25	411
ENSMUSG00000027865	333.6	440	309.17	377	340.5	135	463	358.5	213.33	311.5	473.5	533.67
ENSMUSG00000064573	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081440	0	0	0	0.17	0.5	0	0	0	0	0	3	0
ENSMUSG00000086923	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000106639	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000044468	332.7	5362.04	471.67	7222.63	2379.15	1697.15	1065.12	3951.4	545.87	6435.74	344.18	4821.32
ENSMUSG00000053957	1	1	1	4	1	4	0	1	0	4	1	5
ENSMUSG00000104943	2	4	0	4.11	1.2	0	2	2.2	0	5	0	4
ENSMUSG00000008763	974.5	1295.83	1313.83	1196	992.9	529.5	1508.93	825	948.84	1413.25	1496.5	1162.5
ENSMUSG00000105824	0	3	1	1	0	0	2	0	0	0	0	0
ENSMUSG00000105137	0	2	1.12	0	1	0	2	0	2	0	1	0
ENSMUSG00000105561	0	3	0	1	1	0.11	2	1	7	0	2	0
ENSMUSG00000106184	0.5	0	0	0	0	0	0.33	0	0	0	0	0
ENSMUSG00000083842	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106227	0	1	0	0	0	0	0	0	0	1	0	0
ENSMUSG00002076204	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000120363	0	0	0	3	0	0	0	0	0	0	0	1
ENSMUSG00000051076	15	4	31	2	8	3	39	2	24	3	8	1
ENSMUSG00000033233	86.33	23	51.34	12	37.12	1	136	17	43	13	161	29
ENSMUSG00000033222	444.53	328.2	548	326.29	506.75	127	651.67	217	360.5	293.2	509.17	313
ENSMUSG00000082000	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086564	13	8	22	5	10	2	31	5	12.2	9	18.33	2
ENSMUSG00000027864	4927.17	319.95	5739	266.62	2623.33	94.9	7403.83	205.12	4212.8	238	4986.42	247
ENSMUSG00000105717	0	0	0	0	0	0	1	1	0	0	1	0
ENSMUSG00000082415	8	10	8.83	5.5	6.2	6.5	7.5	4.5	6	11.83	10.33	8
ENSMUSG00000083546	1.88	2.71	3.35	2.79	3.37	1.15	5.55	2.18	2.39	3.02	4.68	2.07
ENSMUSG00000081569	0	0	0	0	0	0	0	0	0.5	0	0	0
ENSMUSG00000027863	2	23.11	0	28	2.25	5	2	24	1.25	25	2	58.1
ENSMUSG00000120088	0	2	1	3	0	0	0	1	1	0	0.33	1
ENSMUSG00000072381	155.38	22.18	114.25	12.88	58.9	5.07	180.9	16.73	73.65	10.55	128.72	21.82
ENSMUSG00000106316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042035	1069	133.62	1692.12	102.25	1534.48	37.5	1653.89	73	1314.33	83.11	1419	135
ENSMUSG00000104639	0.24	0	0	0	0	0	0	0	0	0	0.17	0
ENSMUSG00000105611	0	0	0	0	0	0	0	0.5	0	0	0	0
ENSMUSG00000106137	21	3.62	29.1	4	32	0.5	29.25	0	29	2	29	3
ENSMUSG00000033161	31654.4	7833.47	31788.83	5498.5	27816.47	2449.1	41117.39	4519.12	21766.65	5498.32	33213.4	7295.66
ENSMUSG00000104737	16.14	3.12	11	3	47	1	31.14	2	6	2	10.14	0
ENSMUSG00000104693	4.83	5	9	2	15	0	6	1	10	1	1	0
ENSMUSG00000106070	0	0.12	0	0.5	0	0	0.1	0	0	0	0	0
ENSMUSG00000105642	0	0.12	0	0.33	0	0	0	0	0	0	0	0
ENSMUSG00000044313	3	2	6.25	3	10	0	13	1	6	2	11	3
ENSMUSG00000033147	177.04	269	241.98	209.33	229.33	107	265.61	184	179.5	223.81	253.58	259.5
ENSMUSG00000048540	1.75	0.33	0.14	0.33	0	0	0	0.67	0.17	0.67	2.5	1.67
ENSMUSG00000104930	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105346	0	0	0.11	0	0	0	0.22	0	0.11	0	0.11	0.11
ENSMUSG00000027861	23981.26	18	26363.55	20.33	14524.05	15	30375.84	12	18481.75	30	27737.47	9
ENSMUSG00000105342	9	0	9	0	1	0	9	0	3	0	7.5	0
ENSMUSG00000106296	81	0	72.7	0	45	0	89	0.33	46	0	62	1
ENSMUSG00000027860	644.03	353.25	877.5	431.5	489.5	108	1024.83	255.2	644	337.1	753.39	333.58
ENSMUSG00000089916	0	0	1	0	0	0	3	0	1	0	0	0
ENSMUSG00000105151	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105891	1	0	3	0	0	0	1.5	1	0	2.17	1	1
ENSMUSG00000105966	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106459	30.17	18	36.33	9.67	31.83	2.5	49.17	7.67	21.83	6.48	38.33	6.83
ENSMUSG00000027859	45	16.17	41	4	28	5	64.5	8.33	33.33	12	93	12
ENSMUSG00000106121	1	0	1	1	3	0	0	0	1	1	1	0
ENSMUSG00000104619	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104685	5.1	4.28	2.83	2.62	5.32	0	1.25	1.42	2.25	3.15	5.62	3.9
ENSMUSG00000105498	0	0	0	0	0	0	0	0	1	0.5	0	0
ENSMUSG00000105570	0	1	0	1	0	0	0	0	3	0	1.5	0
ENSMUSG00000086745	5.17	0	0.42	0	4.72	0	3.33	0	2.17	0	2.42	0
ENSMUSG00000027858	1207.08	143.17	1351.58	135	992.89	27	1689.81	113.17	879	114	1326.17	142
ENSMUSG00000027857	2	3.2	4	0	4	0.25	8.33	1.2	2	0	5	1
ENSMUSG00000105855	0	0	1	0	0	0	0.5	0	0	0	0	0
ENSMUSG00000027855	19	15.5	27	13.11	27.2	5	18.2	6	19	4.11	25	9.5
ENSMUSG00000105672	0	0	0	0	0	0	0	0	0.1	0	0	0
ENSMUSG00000106545	0.69	1.24	3.26	1.96	3.14	0.17	1.71	1.17	1.06	2.27	1.2	1.35
ENSMUSG00000105938	0.12	0.1	0.4	0.1	0.11	0.2	1.03	0	0	0.2	0.51	0.3
ENSMUSG00000048938	2	82.67	4	61.5	0.5	10.5	5	49.75	0	24.33	4	40.5
ENSMUSG00000065708	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027854	1595.27	404.67	1981.34	283.83	1381.33	78	2494.39	253.99	1469.72	248.62	2482.25	335.25
ENSMUSG00000068823	6465.32	3966.46	8744.52	3289.35	8137.67	1425.14	9153.22	2531.67	7037.4	3420.12	8428.73	3893.06
ENSMUSG00000027852	1758.7	934.25	2063.58	693.7	1638.35	166	2554.75	679.77	1460.67	644.12	2299.92	833.75
ENSMUSG00000104671	8	4.33	9	4.17	4	1	2	4	6	3	10.5	1
ENSMUSG00000070385	1	1	1.5	2	0	0	5	1	3	1.5	0	3.17
ENSMUSG00002075007	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105731	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007379	84	227	172.5	277.14	127	46.37	195	163	132	172	158	222.54
ENSMUSG00000005687	910.61	969.62	1013.08	953.37	621.05	178.28	1268.18	709.37	682.43	761.66	1151.77	904.13
ENSMUSG00000098153	0	0	0	0	0	0	0.2	0	0	0	0	0
ENSMUSG00000054379	0	0	0	0	0	0	0	0	0.4	0	0	0
ENSMUSG00000104976	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033014	749.83	692.5	1081.5	642.25	1032.15	270.5	1148.78	445	802.21	553.5	1085.67	568.5
ENSMUSG00000104925	0	0	0.5	0	0	0	0	0	1	0	1	0.25
ENSMUSG00000089029	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000119891	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065029	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027849	11.5	25	13.62	29.87	13.33	8.17	18.58	16.92	8.89	23.42	23.89	31.08
ENSMUSG00000104764	0	0	0	0	0.2	0	0	0	0.25	0.33	0	0
ENSMUSG00000087119	65.25	154.5	75.78	153.87	74.58	50.67	95.75	126.08	51.75	152.58	103.25	192.58
ENSMUSG00002076886	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081910	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027848	467.5	141.12	771.17	99	407.25	30	818.6	92.25	536.7	98.25	716.61	133
ENSMUSG00000078620	0	1.5	0	2	0	0	2	0.5	0	1.5	0	0.11
ENSMUSG00000008730	2174.22	2703.9	3074.27	2824.58	3443.95	1016.1	3278.79	1877.17	2318.06	2398.75	3189.7	2453.62
ENSMUSG00000105229	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085754	112.67	138.75	176.25	147	217.5	68	172.17	103	142.5	127.75	195.5	131.5
ENSMUSG00000104874	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000027845	223.42	312.1	235.62	347.5	198	174.17	265.6	214.25	177.6	345	268.52	344.62
ENSMUSG00000084997	15.17	23	17.62	23	13	15.5	21.5	15.5	15.5	24.5	24.75	27.5
ENSMUSG00000032952	179.38	270.5	191.5	319	181	120.89	273.25	190.5	170	319.88	280	333.33
ENSMUSG00000105053	136.38	211	146	236.5	138	102.89	210.75	150	124	253.88	225	256.83
ENSMUSG00000044165	1	2.5	1.7	3.5	0	0	3.1	3.5	0	3.5	1	6
ENSMUSG00000027843	8	63.14	28.33	89	8	19	11	72.67	12	77.14	10	76.33
ENSMUSG00000084760	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105986	0	0	0	0	0	0	0.43	0	0.11	0	0	0
ENSMUSG00000083630	3.5	4	8	1	9	0	5.14	3	4	3	5	3
ENSMUSG00000044098	261	280	408.5	307	367	98.93	414.62	198.5	257.37	279.83	421	283.5
ENSMUSG00000089998	68.5	77.5	108.5	81	97	23.5	107	55.17	85	76.68	113.5	79
ENSMUSG00000058388	325.77	178.5	414.61	179.5	265	38	523.7	145.33	297.11	155.68	394	188.62
ENSMUSG00000052539	1258.58	557	1760.2	548	1176.33	261.5	1753.58	369.5	1116.17	618.5	2218.11	563.5
ENSMUSG00000104721	1	0	0	0	0	0	1	0	1	2	0	0
ENSMUSG00000106371	0	0	0	0	0	0.14	0	1	0	0	0	0
ENSMUSG00002076048	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000105148	0	0	0.14	0	0	0	2	0	0.14	1	0	2
ENSMUSG00000105083	0.1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105793	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000106443	0	1	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000104583	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105846	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106063	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106432	0	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000105933	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000105818	0	0	0	0	0	0	0.2	0	0	0	1	0
ENSMUSG00000088479	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000120952	34.5	26	38	17	10	4	56	11	22	12	52	26
ENSMUSG00000022187	0	0	1	0	0	0	1.25	1	0	0	0	0
ENSMUSG00000032913	329.5	273	603.14	240.2	380	67.5	508	178	443	215.67	624.81	197.12
ENSMUSG00000104768	1	0.12	0.11	0	0	0	0	0	0	0	0.33	0
ENSMUSG00000106453	10.83	5	14.75	1	8.83	1.5	14.5	5	5	1	14.5	5.83
ENSMUSG00000105304	1	1.5	1	0	0	0	2.14	2.38	1.39	1	1.25	2
ENSMUSG00000104973	3.5	7.12	6	7	11	1	9	2	6.17	4.5	12.67	2
ENSMUSG00000105659	1	0	0	0	1	0	1	1	1	0	1	0
ENSMUSG00000118779	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106565	0	1	1	1	0	0	0	0	1	2	1	3
