Geneid	e10HeartOGAWTFemale	e10LiverOGAWTFemale	e2HeartOGAKOFemale	e2LiverOGAKOFemale	e3HeartOGAKOMale	e3LiverOGAKOMale	e5HeartOGAWTFemale	e5LiverOGAWTFemale	e6HeartOGAKOFemale	e6LiverOGAKOFemale	e7HeartOGAWTMale	e7LiverOGAWTMale
ENSMUSG00000102534	0	0	0	0	0	0.17	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0.33	0	0	0	0	0	0	0.67	0	0	0.33
ENSMUSG00000120372	5	2	1	3	2	0	2	0	2.25	3	5.5	1.33
ENSMUSG00000051285	1074.87	1278.83	1344.26	1085.58	1051.08	300.83	1562.17	848.33	1022.5	1047.42	1313.92	1149.06
ENSMUSG00000098201	32.95	32.65	46.93	33.39	42.72	7.05	48.28	32.44	35.19	38.54	43.4	41.52
ENSMUSG00000103509	7	10	7	11	16	0	8.17	6	5	8	12	4
ENSMUSG00000048538	149.36	2562.11	172.5	2473.18	134.16	1381.84	222.76	1380.4	130.16	2752.89	160.48	3893.04
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0.17	0	0	0	0	0	0	0
ENSMUSG00000097797	3.14	2.75	0	3.33	0	0	6	2.5	3	2.5	2	2.5
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0.5	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000102320	0.5	0.5	0.5	0	0	0.5	0.5	0	0.5	0	1	0.5
ENSMUSG00000104226	4.5	8	13.7	5.64	11.5	2.5	14.6	5	10.61	3.7	9.5	5.5
ENSMUSG00000103903	0	0.39	0	0	0.29	0.14	0	0	0	1.2	0	0.29
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	2	4	2.1	1	3.2	0	0	1	2	2	0.1	1
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	26.83	5.33	23	3.5	20.83	1.5	44.83	4	12.67	4.33	37.67	3.33
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	141.67	245.03	161.53	300.9	67.08	55.33	225.23	161.28	109.28	251.23	81.53	211.33
ENSMUSG00000103933	422.38	735.96	659.32	660.41	582.15	198.86	819.09	487.9	448.08	661.8	717.66	685.34
ENSMUSG00002075967	36.53	27.83	51.4	31.07	39.63	7.87	43.58	33.4	39.12	47.57	43.9	38.95
ENSMUSG00000086195	9.55	4.3	8.35	5.25	4.47	0.25	8.8	2.4	8.2	4.05	11.12	3.51
ENSMUSG00000104504	1.6	1.3	2.93	1	0.6	0	1.8	0.4	1.37	0.8	2.37	0.51
ENSMUSG00000066693	89.06	60.75	84.4	47.95	64.71	18.58	109.44	42.52	60.77	66.16	98.73	71.49
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0.2	0	0	0.1	0	0	0	0.1	0
ENSMUSG00000101571	28.85	24	48.32	17.65	42.27	6.04	45.22	14.27	35.64	23.01	44.16	20.16
ENSMUSG00000104428	0.14	0	0	0	0	0	0	0	0	0.14	0	0
ENSMUSG00000102272	0.5	1	1.5	0	4.14	0	4.5	1	2	1	4	3.5
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000061024	416.42	677.62	547.83	523.69	560.5	334.33	563.03	451.25	397.67	651.08	611.75	647.83
ENSMUSG00000025911	1376.5	1187	1527.67	1011.17	1201.17	112.1	1872.75	591.5	1074.17	1021	1806.67	746.5
ENSMUSG00000079671	102.75	84	115.5	74.5	83	10	141.95	34.5	81.56	69	130.5	47
ENSMUSG00000081441	8.75	6.78	9.22	6.68	7.72	0.55	9.84	5.35	4.52	7.1	8.9	5.55
ENSMUSG00000067879	0.75	2	5	0	0	0	4.5	0	1	0	3.5	5.7
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	116	31	153	27	60	3	180.25	18	97	19.25	76	19
ENSMUSG00000045210	608.12	1059.7	951.67	1112.5	753.67	566.13	849.08	722.75	740.38	1167.7	972.58	955.08
ENSMUSG00000097893	28.12	72.31	47.67	78.2	35.75	28.08	39.08	42.33	38.5	61.39	55.58	62.2
ENSMUSG00000025915	399.5	835.33	409.12	860	375.5	295.83	562.81	680.5	279.5	692.61	490.5	949.5
ENSMUSG00000046334	26.5	28.5	32	20	16.5	2.5	40	19.5	18	22.5	36	21.67
ENSMUSG00002075801	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098234	209.5	391	259.33	334.6	360.14	186	217.5	207.33	247.33	455.7	238.2	305
ENSMUSG00000046101	14.5	31	15	28	18.12	9.5	18.5	8.7	11.2	33.2	10.5	12.2
ENSMUSG00000093178	0	1	0	1	0.5	0.5	1.5	0.5	1	0.5	0.5	1
ENSMUSG00000099032	14	99.64	14.58	74	14.55	10	34.5	77	15.17	87.5	28	47.83
ENSMUSG00000104025	0	5.5	0.58	5	0.55	1	2.5	3.5	0.29	3.5	1	3
ENSMUSG00000025916	0	10.5	0	3	0	1	4	6.5	0	5	2	9
ENSMUSG00000087199	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5
ENSMUSG00000121270	0	3	0	3	0	0	0.25	1.1	0	0.5	1.62	1.5
ENSMUSG00000119658	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	1833.33	1189.61	2155	1090.5	1693.5	249.94	2474.82	782.33	1603.37	1060.17	2416.58	1265.14
ENSMUSG00000056763	150.5	253	197.5	200	160	52.08	242.5	161.5	140	179.5	213	152.5
ENSMUSG00000102356	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851	1356.44	1930.7	2244.83	1643.5	2610.5	898.6	2427.5	1221	1901.12	1662.7	2315.1	1823.93
ENSMUSG00002076532	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102556	0	1	0	0	0	2	0	0.1	0	0	0	0
ENSMUSG00000042501	0	1	0	0.39	0	0	0	1	0	0	0	0.25
ENSMUSG00000103810	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	5.5	6.26	7.26	5.38	6.96	2.44	7.37	5.42	4.54	3.08	9.86	6.13
ENSMUSG00000119312	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	0.25	0.33	1	0	1	0	0.33	0	0	0.33	1	0.67
ENSMUSG00000103448	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	4.78	1.5	1	0	2.1	0.5	3.5	0.5	1	0	4	0
ENSMUSG00000100648	1	4.75	1.5	3.25	0	2	5.5	2	1.45	2	1.5	2
ENSMUSG00002076499	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	431.43	306.54	622.82	239.11	583.06	226.28	660.43	145.48	404.85	336	675.98	190.87
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	7.17	4	6.67	1.5	8	0	9	5	4.5	4.75	10.5	3
ENSMUSG00000103494	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	4.12	1	1.33	0.5	1.33	0.5	3.29	0	2	0.2	5	0
ENSMUSG00000103825	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0.11	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	157.67	119.63	180.49	81.49	154.88	37.67	262.93	62.01	127.03	82.4	237.63	128.36
ENSMUSG00000118923	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	12.61	10.75	15.99	3.1	14.17	0	18.36	2.12	6.1	4.11	21.41	2.2
ENSMUSG00000098163	0	0	0	0	0	0	0	0.2	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	0	0	0.33
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	1430	129.75	1693.5	91.2	948	14	2188.29	78	1253.17	74	1635	58.33
ENSMUSG00000025938	19	6	66.33	3	75	1.25	39.17	3	66	1	37.75	2.25
ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	0.67	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	0	3	0	0	0	0	0	0	0	5	0	1
ENSMUSG00000005886	1498.7	1343.33	2218.88	1369.7	2181.06	583.5	2100.33	840.2	1833.7	1746.95	2446.81	1068.25
ENSMUSG00000103506	1	0	2	0	0	0	1	0	0	0	0	0
ENSMUSG00000103495	0.25	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076346	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639	0	0	0	0.17	0	0	0	0	0	0	0	0
ENSMUSG00000104170	0	0	0	0	0.12	0	0	1	0	0	0	0
ENSMUSG00000087782	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085	0.1	1	0	1	0	1	0	1	0	1	0	0.33
ENSMUSG00000102664	0	0	0	0	0	0	0.17	0	2	0	0	0
ENSMUSG00000101476	0.25	0	0	0	1	0	1	0	0	0	2	0
ENSMUSG00000101171	10	14.17	12.83	20.17	15.83	6.5	12.17	10.67	10.83	14.75	11.83	14.5
ENSMUSG00000025935	950	2148.67	1176	1554	872.33	242	1521.83	1405.84	803	1535.29	1384.5	1552
ENSMUSG00000120948	0	1	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000025937	495.37	840.33	437.75	437.37	340.03	47.83	597.67	505.17	359.53	368.08	544.83	725.32
ENSMUSG00000102982	1	7	1	1	1	1	3	0	2	0	1	4
ENSMUSG00000067813	0	127	0	17	0.2	15	1	81	0	18	0	78
ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	5.17	8	16.17	2.67	7	1	12.5	4.67	6.17	3.17	13.03	3
ENSMUSG00000102166	0	0	0	0	0	0	0	0	0	0.12	0	0
ENSMUSG00002075174	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	0	1.33	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000025932	16	2	83.5	0	74	0	72.14	2	68.14	1.17	44.12	2.25
ENSMUSG00002075819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000054493	7	3	8	4	10.3	1	7.5	5	9.5	4.7	6.5	4.5
ENSMUSG00000025930	32.5	15	52.35	22	44.05	7	60.5	13.64	46.5	20.5	44.7	10.83
ENSMUSG00000103492	1.11	0	2	2	1	0.2	1	0	1	0	0	1.5
ENSMUSG00000081201	164.35	97.45	203.72	83.67	148.76	17.1	248.64	70.76	145.99	74.57	217.34	90.52
ENSMUSG00000082193	1341.05	1756.91	2024.95	1670.22	1715.18	442.46	1955.78	1230.74	1412.3	1749.66	1777.05	1814.82
ENSMUSG00000032769	6	0	4	0	1	0	5	0.11	6.11	0.14	2.33	0
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	3.71	2.19	5.27	1.79	4.54	1	6.75	3.08	1.83	0.61	4.27	2.75
ENSMUSG00000092083	2	3	5	0.2	4	0	4	1	6	1	5	0.14
ENSMUSG00000102937	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	0	0	0	0	0.12	0	0	0	0	0	0	0
ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	48.33	43.52	52.35	30.57	33.77	7.57	63.42	28.48	37.9	30.15	56.16	34.65
ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	98	171	155.5	248	132	73.12	162	142	111	241	110	195
ENSMUSG00000104379	1	0	1.2	1	3	1.75	3	0.5	1	0.5	0.5	0
ENSMUSG00000032719	0	1	1	3	1	0.75	2	0.5	2	1.5	2.5	0
ENSMUSG00002076565	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	2	2.33	3	1.56	0.61	0.33	2	4.5	4.5	3.2	4.53	4
ENSMUSG00000067795	0	0.1	1	1	0	0	0.5	0	0	0	1.2	0
ENSMUSG00000043716	4779.64	6156.18	6515.18	5618.47	5494.49	1413.02	7306.3	4241.99	4746.93	5824.78	6492.81	6161.56
ENSMUSG00000025921	135.12	173	211	110	149.5	24	214.83	104	134	124	244	136
ENSMUSG00000104165	0	0	2	0	0	0	1	0	0	0	0	0
ENSMUSG00000100868	0.25	0	0	0	2	0	1	0	0.5	0	1	0.2
ENSMUSG00000025920	869.33	195.5	1116.25	112	889.53	42	1199.7	110	760.33	166	1017.33	144
ENSMUSG00000089982	0	0	0.12	0	0	0	0.33	0	0	0	0	0
ENSMUSG00000025939	359.5	307.5	498.17	302.17	529.11	94.1	513.75	215.5	369.5	291	527	325
ENSMUSG00000102457	1	1.5	1.5	1	2.5	0.1	2.5	2.5	1	2	2.95	2
ENSMUSG00000079658	1713.7	914.75	1712.78	771.45	1093	185.2	2354.08	655.5	1237	792.5	1865.79	849.58
ENSMUSG00000097744	0	0.17	0	1	1.25	0	0.25	0	1	0	0.45	0
ENSMUSG00000100959	4.08	7.28	5.67	1.25	1.58	0	8.18	4.67	3.25	1.33	4.45	1.33
ENSMUSG00000025940	1408.34	636.53	1140.62	559.07	618.22	204.29	1848.89	406.11	791.15	630.22	1473.26	693.13
ENSMUSG00000025779	37	39	74	31	51.11	13	70	27	58	28	62	30
ENSMUSG00000100093	0.33	0.5	1	0.33	0	0	0	0.5	0.5	0.33	1.43	2.08
ENSMUSG00000091020	106.17	85.33	113.67	73.83	86.67	37.83	154.33	59.96	99.83	76.83	128.17	92.33
ENSMUSG00000101640	3.25	0	5.75	0	7	0	2.5	0	4.75	0.5	2.25	0
ENSMUSG00000104133	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	304.38	5	436.73	13	617.03	4	404.5	4	413	11.5	437.83	3
ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	2	1	8.25	0.17	2	0	6	0	5	0	5	1
ENSMUSG00000099899	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	1.33	4.17	2.33	2.5	4	1.33	2.33	0.33	1.83	1	0.33	2.17
ENSMUSG00000101589	61.5	55.46	79.67	57.58	65.7	18.5	93.33	44.83	57	57.33	79	37.17
ENSMUSG00000102048	10.39	11.36	16.51	8.18	8.88	1.11	14.12	5.36	12.48	9.98	14.23	10.34
ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	267.61	20	521.27	2	468.81	1	442.75	4	341.29	9	525.64	3
ENSMUSG00000100053	1.5	0.5	4.5	0	8.5	0	4.1	0	4.5	0	7	0
ENSMUSG00000085125	0	1	3.5	1	1.5	0	1.2	0	2	0	1.25	0.12
ENSMUSG00000025776	29	2	55.5	2	51.5	2	39	4	49	2	51	4
ENSMUSG00000099895	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554	13.5	6.25	20.81	11	24	5	14	3	22	11	27	7.08
ENSMUSG00000099473	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	8.33	5.78	4.67	10.17	4.75	2.67	8.08	5.58	3.17	4.25	4.17	5.83
ENSMUSG00000109887	0	0.25	0.5	0	0.25	0.5	0.25	0.75	0.5	0.25	0.5	0.45
ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0	0.25
ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	5.92	4.42	7.27	6	9.35	3.48	8.6	4.75	4.5	3.58	5.17	8
ENSMUSG00000101306	1	0.5	0.5	0	0	0	2	0.2	1	0	0.83	0
ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	0.17	0	0
ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	3	1	3.28	0.14	0.31	0	3.56	0	0	0	0.39	3.2
ENSMUSG00000025927	0.25	0	0.11	0	0.6	0	0.24	0	4.32	0	1	0.1
ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	76.83	85.08	73.83	76.42	74	27	92.17	41.31	55.17	56.67	71.04	60
ENSMUSG00002076883	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	0	104.5	0	46	0	4.98	0.5	44.62	0.83	36	0	33.75
ENSMUSG00000104095	0	0	0	0	0	0	0.12	0	0	0	0	0.25
ENSMUSG00000089914	0	0.5	0	0	0	0	0	0.5	0	1	0	0.5
ENSMUSG00000090142	4.61	8.21	7.71	6.32	6.15	1.6	8.51	7.01	5.84	8.39	8.05	6.72
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0.5	0	0
ENSMUSG00000099906	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041872	1	2	1	5	0	0	1	1	0.33	2	0	3
ENSMUSG00000041859	764.2	2140.93	786.83	1856.61	283.25	249.5	994.17	1312.2	547.11	1417.14	556.5	1849
ENSMUSG00000099714	1.1	0.12	0	1.1	0.5	0.33	1	0.61	3.14	0.33	0.7	0.5
ENSMUSG00000102121	0	0	0	0.5	0	0	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	0	1	1	0	2	0	1	0	1	0	3	0
ENSMUSG00000025931	87	20	115	12.5	70.33	1	107.5	11	83.25	12.25	118.14	18
ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041809	11	8	12	3	10	3.5	18	6	9	11	18	8
ENSMUSG00000041779	198	1254.12	315	900.22	245.12	182.14	332.5	736	228.17	943	306.25	984.33
ENSMUSG00000099971	0	0	1	0	0	0	0	1	0	0	0	2
ENSMUSG00000100819	0	6.67	1	5.33	0	0	3	5.5	0	3.25	5	2.17
ENSMUSG00000025933	58.67	12.67	96.17	7.5	44.17	1.11	103.83	5.5	71.5	16.5	87.67	9.83
ENSMUSG00000102633	0	0	1.47	0	0	0	0	0	0	0	0	0
ENSMUSG00000025934	4	6357.43	8	5037.43	12	386.67	12	3552.9	11.33	4826.12	10	2024.62
ENSMUSG00000099343	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000096375	2.5	3	0	2.5	1.5	0	2.25	1	1	1.5	2	2.5
ENSMUSG00000025936	0	1	1	0	2	1	1	1	0	0	0	0
ENSMUSG00000093963	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	0	0	0	0	0	0	0	0	0	0	0	0.11
ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	0	0	1	0	0	0	0	0	0	0	0	0
